OCC_CODE,title_2024,RTI,H_info_rti,H_info_eloundou,dv_rating_gamma,E_thermo_v2,delta_emp_ann
11-1011,Chief Executives,-1.460603705311765,1.460603705311765,0.8666666666666667,0.8822222222222222,-8.907277562260388,0.0057236038834962
11-1021,General and Operations Managers,-0.9700183967073819,0.9700183967073819,1.0,0.9615384615384616,-3.982128949231567,0.0835061908246039
11-2011,Advertising and Promotions Managers,-0.7533566885065482,0.7533566885065482,1.0,0.9534883720930232,-8.427008616381082,-0.0341231729517823
11-2021,Marketing Managers,-1.9753850431101188,1.9753850431101188,0.9375,0.9375,-9.523513815280769,0.0786292560326211
11-2022,Sales Managers,-1.7921796995566002,1.7921796995566002,1.0,0.9,-11.453143043674892,0.0844035229537865
11-3021,Computer and Information Systems Managers,-1.1026258956798074,1.1026258956798074,0.8787878787878788,0.9393939393939394,-8.565781999734776,0.0828106776152295
11-3031,Financial Managers,-1.0921018081465173,1.0921018081465173,1.0,0.9701104613385315,-11.661080144881048,0.0456734048541749
11-3051,Industrial Production Managers,-0.6113374750765759,0.6113374750765759,0.9292548973563125,0.7406923003621116,-3.5772853153213977,0.0475617754401707
11-3061,Purchasing Managers,-0.856720274246521,0.856720274246521,0.7714285714285715,0.9428571428571428,-9.78218744423335,0.024157925128398
11-3071,"Transportation, Storage, and Distribution Managers",-1.090570484882885,1.090570484882885,0.9821428571428572,0.9551948051948052,-6.5795931758096415,0.1003600580498524
11-3111,Compensation and Benefits Managers,-0.5705384544589693,0.5705384544589693,0.868421052631579,0.894736842105263,-10.930038786192261,0.0349804194947771
11-3121,Human Resources Managers,-0.8056859632193238,0.8056859632193238,0.96,0.92,-8.181975088642092,0.06842323586674
11-3131,Training and Development Managers,-1.4014318655833806,1.4014318655833806,0.9090909090909091,0.9090909090909092,-9.775087237264165,0.0314556444139604
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.45810632254531736,0.45810632254531736,0.9591836734693878,0.6938775510204082,2.69046731375421,0.0315431342033811
11-9021,Construction Managers,-0.13703966480359142,0.13703966480359142,0.9555555555555556,0.8444444444444444,4.228160112393253,0.034932618655225
11-9031,"Education and Childcare Administrators, Preschool and Daycare",0.011928008815028479,-0.011928008815028479,0.9375,0.875,-3.7250722954949507,0.0646501895667486
11-9032,"Education Administrators, Kindergarten through Secondary",-1.0209814563333535,1.0209814563333535,0.9818181818181819,0.8181818181818181,-1.4873822094783287,0.0335446393230447
11-9033,"Education Administrators, Postsecondary",-1.0591134390658674,1.0591134390658674,0.975609756097561,0.8536585365853658,-8.782627214811502,0.0401785077076832
11-9041,Architectural and Engineering Managers,-0.7240344829388012,0.7240344829388012,0.9482758620689655,0.8334975369458129,-7.177426177278293,0.0160431878394176
